MAINE           1124660  33215 1820 23 AUGUSTA        ME 05000
NEW HAMPSHIRE    920610   9304 1788 09 CONCORD        NH 03900
VERMONT          511456   9609 1791 14 MONTPELIER     VT 06000
MASSACHUSETTS   5737037   8257 1788 06 BOSTON         MA 02800
RHODE ISLAND     947154   1214 1790 13 PROVIDENCE     RI 03000
CONNECTICUT     3107576   5009 1788 05 HARTFORD       CT 07000
NEW YORK       17557288  49576 1788 11 ALBANY         NY 15000
PENNSYLVANIA   11866728  45333 1787 02 HARRISBURG     PA 19700
DELAWARE         595225   2057 1787 01 DOVER          DE 20000
MARYLAND        4216446  10577 1788 07 ANNAPOLIS      MD 22000
VIRGINIA        5346279  40815 1788 10 RICHMOND       VA 24700
NORTH CAROLINA  5874429  52712 1789 12 RALEIGH        NC 29000
SOUTH CAROLINA  3119208  31055 1788 08 COLUMBIA       SC 30000
GEORGIA         5464265  58876 1788 04 ATLANTA        GA 32000
FLORIDA         9739992  58560 1845 27 TALLAHASSEE    FL 35000
MICHIGAN        9258344  58216 1837 26 LANSING        MI 50000
OHIO           10797419  41222 1803 17 COLUMBUS       OH 46000
INDIANA         5490179  36291 1816 19 INDIANAPOLIS   IN 48000
ILLINOIS       11418461  56400 1818 21 SPRINGFIELD    IL 63000
WISCONSIN       4705335  56154 1848 30 MADISON        WI 55000
KENTUCKY        3661433  40395 1792 15 FRANKFORT      KY 43000
TENNESSEE       4590750  42244 1796 16 NASHVILLE      TN 38600
ALABAMA         3890061  51609 1819 22 MONTGOMERY     AL 37000
MISSISSIPPI     2520638  47716 1817 20 JACKSON        MS 40000
LOUISIANA       4203972  48523 1812 18 BATON ROUGE    LA 71600
ARKANSAS        2285513  53104 1836 25 LITTLE ROCK    AR 73000
MISSOURI        4917444  69686 1821 24 JEFFERSON CITY MO 66000
IOWA            2913387  56290 1846 29 DES MOINES     IA 53000
MINNESOTA       4077148  84068 1858 32 SAINT PAUL     MN 57000
MONTANA          786690 147138 1889 41 HELENA         MT 60000
NORTH DAKOTA     652695  70665 1889 40 BISMARCK       ND 59000
SOUTH DAKOTA     690178  77047 1889 39 PIERRE         SD 58000
WYOMING          470816  97914 1890 44 CHEYENNE       WY 83200
COLORADO        2888834 104247 1876 38 DENVER         CO 82000
NEBRASKA        1570006  77227 1867 37 LINCOLN        NE 70000
KANSAS          2363208  82264 1861 34 TOPEKA         KS 68000
OKLAHOMA        3025266  69919 1907 46 OKLAHOMA CITY  OK 75000
TEXAS          14228383 267339 1845 28 AUSTIN         TX 80000
NEW MEXICO      1299968 121666 1912 47 SANTA FE       NM 89000
ARIZONA         2717866 113909 1912 48 PHOENIX        AZ 87000
UTAH            1461037  84916 1896 45 SALT LAKE CITY UT 85000
NEVADA           799184 110540 1864 36 CARSON CITY    NV 90000
IDAHO            943935  83557 1890 43 BOISE          ID 84000
WEST VIRGINIA   1949644  24181 1863 35 CHARLESTON     WV 27000
WASHINGTON      4130163  68192 1889 42 OLYMPIA        WA 99500
OREGON          2632663  96981 1859 33 SALEM          OR 98000
CALIFORNIA     23668562 158693 1850 31 SACRAMENTO     CA 96700
ALASKA           400481 586400 1959 49 JUNEAU         AK 99999
NEW JERSEY      7364158   7836 1787 03 TRENTON        NJ 09000
HAWAII           965000   6424 1959 50 HONOLULU       HI 96900
